"";"msoa_cd";"individuals";"bus";"car";"moto";"taxi";"train";"u-m-l-t";"tot_emis"
"1";"E02001682";2623;253;521380;816;3742;93;75;526359
"2";"E02001683";3043;294;730583;3152;4891;108;87;739115
"3";"E02001767";2730;263;209485;2139;7063;97;78;219125
"4";"E02001786";2395;231;263611;2273;1853;85;69;268122
"5";"E02001774";1949;188;157115;676;1859;69;56;159963
"6";"E02001787";2007;194;195181;1087;1196;71;57;197786
"7";"E02001684";2515;243;170172;1074;1379;89;72;173029
"8";"E02001788";2136;206;221830;1555;1222;76;61;224950
"9";"E02001768";2890;279;321021;1858;3933;103;83;327277
"10";"E02001766";2671;258;213240;1757;3790;95;76;219216
"11";"E02001775";1794;173;197530;1475;738;64;51;200031
"12";"E02001773";1952;188;252905;1681;2135;69;56;257034
"13";"E02001685";2777;268;362356;2330;2564;99;79;367696
"14";"E02001789";2011;194;289219;1020;1169;71;58;291731
"15";"E02001769";2275;220;193695;878;2069;81;65;197008
"16";"E02001749";2375;229;266279;1222;2913;84;68;270795
"17";"E02001776";3101;299;279626;1860;1706;110;89;283690
"18";"E02001756";3503;338;298827;1243;9350;124;100;309982
"19";"E02001686";2564;247;431721;2247;1902;91;73;436281
"20";"E02001790";2039;197;248786;1284;1713;72;58;252110
"21";"E02001770";2482;240;290727;1366;4009;88;71;296501
"22";"E02001750";2324;224;314891;1458;3403;82;66;320124
"23";"E02001777";2535;245;239010;1113;1225;90;73;241756
"24";"E02001757";2113;204;175935;1126;2924;75;60;180324
"25";"E02001688";2894;279;257476;2091;2707;103;83;262739
"26";"E02001791";2173;210;280415;786;960;77;62;282510
"27";"E02001771";1946;188;213700;2022;2550;69;56;218585
"28";"E02001751";2135;206;191642;1649;2218;76;61;195852
"29";"E02001778";2216;214;186130;993;1012;79;63;188491
"30";"E02001758";2297;222;207015;1188;3087;82;66;211660
"31";"E02001689";2554;246;140462;903;4787;91;73;146562
"32";"E02001792";2538;245;378733;1365;1391;90;73;381897
"33";"E02001772";1839;177;194070;1395;931;65;53;196691
"34";"E02001752";2146;207;189652;1120;8624;76;61;199740
"35";"E02001779";1708;165;139076;1262;1736;61;49;142349
"36";"E02001759";2486;240;236334;1747;4120;88;71;242600
"37";"E02001690";2769;267;371716;1195;3015;98;79;376370
"38";"E02001793";2648;256;207033;2103;3664;94;76;213226
"39";"E02001697";3026;292;348013;1146;3735;107;87;353380
"40";"E02001753";2237;216;280717;991;3636;79;64;285703
"41";"E02001780";1565;151;160702;1413;1944;56;45;164311
"42";"E02001760";2398;231;160171;1644;8293;85;69;170493
"43";"E02001691";3159;305;223171;1167;4068;112;90;228913
"44";"E02001794";2635;254;219378;1712;2721;94;75;224234
"45";"E02001698";2318;224;400863;1410;2299;82;66;404944
"46";"E02001754";2347;226;293793;1619;2722;83;67;298510
"47";"E02001781";1706;165;137420;1483;1943;61;49;141121
"48";"E02001761";2059;199;168395;874;4808;73;59;174408
"49";"E02001692";2076;200;150454;865;4362;74;59;156014
"50";"E02001795";2530;244;231125;1091;3559;90;72;236181
"51";"E02001699";2585;249;244529;1892;2653;92;74;249489
"52";"E02001755";3109;300;368010;1871;2451;110;89;372831
"53";"E02001782";2885;278;258005;1671;2656;102;83;262795
"54";"E02001762";2478;239;225463;1253;2299;88;71;229413
"55";"E02001693";1859;179;128568;1139;1899;66;53;131904
"56";"E02001796";3205;309;428606;3154;3182;114;92;435457
"57";"E02001700";4007;387;584289;2867;4705;142;115;592505
"58";"E02001803";2690;260;204845;1525;3814;95;77;210616
"59";"E02001783";2045;197;179255;1601;2726;73;59;183911
"60";"E02001763";2185;211;153315;2170;5365;78;63;161202
"61";"E02001694";2605;251;301574;1683;2612;92;75;306287
"62";"E02001797";2221;214;271593;1191;2622;79;64;275763
"63";"E02001701";2420;234;304393;1032;2129;86;69;307943
"64";"E02001804";2084;201;186299;914;4096;74;60;191644
"65";"E02001784";2253;217;214144;1873;4080;80;64;220458
"66";"E02001764";2434;235;205390;1676;4303;86;70;211760
"67";"E02001695";2655;256;297775;1834;1570;94;76;301605
"68";"E02001798";2804;271;278194;2224;1718;100;80;282587
"69";"E02001702";2371;229;167501;900;2385;84;68;171167
"70";"E02001805";2010;194;190905;685;2093;71;58;194006
"71";"E02001785";2536;245;438248;1856;1238;90;73;441750
"72";"E02001765";2459;237;204214;1197;6983;87;70;212788
"73";"E02001696";3129;302;263569;1500;2751;111;90;268323
"74";"E02001799";3337;322;261689;2116;8989;118;95;273329
"75";"E02001703";1735;167;332602;1291;1015;62;50;335187
"76";"E02001806";2361;228;248004;1536;5917;84;68;255837
"77";"E02001710";3165;305;276607;2821;4927;112;91;284863
"78";"E02001813";2869;277;245343;1783;5451;102;82;253038
"79";"E02001746";2920;282;364869;2277;5569;104;84;373185
"80";"E02001800";2818;272;316168;1880;5058;100;81;323559
"81";"E02001704";2402;232;218505;682;3127;85;69;222700
"82";"E02001807";2667;257;334813;1600;4401;95;76;341242
"83";"E02001711";2965;286;310302;1481;4199;105;85;316458
"84";"E02001814";2052;198;250479;1636;2251;73;59;254696
"85";"E02001747";2060;199;248325;1586;1454;73;59;251696
"86";"E02001801";2129;205;183859;1490;2485;76;61;188176
"87";"E02001705";1953;188;432582;2739;4186;69;56;439820
"88";"E02001808";2073;200;207129;1540;941;74;59;209943
"89";"E02001712";3645;352;323179;923;4110;129;104;328797
"90";"E02001815";3723;359;633664;2945;8528;132;107;645735
"91";"E02001748";2859;276;320426;2055;5653;101;82;328593
"92";"E02001802";1848;178;128834;1064;3016;66;53;133211
"93";"E02001706";2036;196;246186;909;3095;72;58;250516
"94";"E02001809";2449;236;301436;2181;2824;87;70;306834
"95";"E02001713";3802;367;509062;2227;2626;135;109;514526
"96";"E02001816";2135;206;232467;1640;3702;76;61;238152
"97";"E02001722";3142;303;352654;1731;5819;112;90;360709
"98";"E02001729";3026;292;172981;615;7676;107;87;181758
"99";"E02001707";2621;253;354262;1296;1320;93;75;357299
"100";"E02001810";3510;339;465810;2365;5357;125;100;474096
"101";"E02001714";3927;379;403689;883;4396;139;112;409598
"102";"E02001817";2049;198;237673;1174;4068;73;59;243245
"103";"E02001723";2088;201;167356;345;3165;74;60;171201
"104";"E02001730";3785;365;193081;496;9097;134;108;203281
"105";"E02001708";3588;346;528503;2133;4815;127;103;536027
"106";"E02001811";2896;279;305368;497;3421;103;83;309751
"107";"E02001715";3650;352;386156;1116;8702;130;104;396560
"108";"E02001818";2712;262;439747;2651;4558;96;78;447392
"109";"E02001724";2879;278;151301;1149;4215;102;82;157127
"110";"E02001731";2982;288;112003;816;5561;106;85;118859
"111";"E02001709";3435;331;477737;1015;2925;122;98;482228
"112";"E02001812";3473;335;577011;815;6276;123;99;584659
"113";"E02001718";1784;172;143153;547;1404;63;51;145390
"114";"E02001819";2409;232;396350;750;2751;85;69;400237
"115";"E02001725";4135;399;224601;2414;7970;147;118;235649
"116";"E02001732";1488;144;120733;449;1852;53;43;123274
"117";"E02001741";2159;208;302688;2873;1317;77;62;307225
"118";"E02001739";2348;227;297608;2092;3580;83;67;303657
"119";"E02001719";3523;340;312565;1802;4627;125;101;319560
"120";"E02001820";2647;255;407990;2248;1924;94;76;412587
"121";"E02001726";3635;351;394241;3005;10746;129;104;408576
"122";"E02001733";3700;357;217981;849;8373;131;106;227797
"123";"E02001742";2195;212;292231;1013;2123;78;63;295720
"124";"E02001740";1968;190;309609;1752;877;70;56;312554
"125";"E02001720";2690;260;169992;608;3792;95;77;174824
"126";"E02001821";2236;216;360984;1346;3840;79;64;366529
"127";"E02001727";3061;295;221711;1436;5442;109;88;229081
"128";"E02001734";2304;222;176358;833;3929;82;66;181490
"129";"E02001743";2755;266;311458;1243;1994;98;79;315138
"130";"E02001826";1458;141;229807;830;2131;52;42;233003
"131";"E02001721";3370;325;552789;1300;10215;120;96;564845
"132";"E02001822";2582;249;469174;1339;2149;92;74;473077
"133";"E02001728";3465;334;443444;2223;7338;123;99;453561
"134";"E02001735";1777;171;62971;747;2740;63;51;66743
"135";"E02001744";2313;223;259315;1933;2437;82;66;264056
"136";"E02006841";2827;273;186489;1398;3632;100;81;191973
"137";"E02001825";1931;186;329328;1224;2886;69;55;333748
"138";"E02001823";2097;202;324319;1929;2654;74;60;329238
"139";"E02001738";1639;158;254128;593;1359;58;47;256343
"140";"E02001736";3095;299;182692;604;7306;110;89;191100
"141";"E02001745";2475;239;272382;1507;3916;88;71;278203
"142";"E02006842";1839;177;125264;411;1696;65;53;127666
"143";"E02001824";2356;227;435510;733;2351;84;67;438972
"144";"E02001737";1598;154;54092;138;3029;57;46;57516
"145";"E02006893";3722;359;566711;2533;6097;132;106;575938
